id,Face
152,|⊙oಠ}
153,(⊙.ಥ}
154,{⚆o◕꒱
155,(◉o^}
156,:♥.◉}
157,[¬ᆺ˘}
158,|◉.ʘ|
159,|⊙.^:
160,(◉.ಥ}
161,:⚆ᆺ⚆:
162,{◉o⚆}
163,|Xo˘}
164,|˘.◉}
165,:ಠo◉}
166,|¬.⚆}
167,{¬o♥}
168,(˘o⊙✿
169,|⚆.^}
170,|¬益ಠ✿
171,꒰♥.¬|
172,{⚆.^}
173,{˘ᆺ˘}
174,{¬.◉}
175,|^.ಠ|
176,(ಥ.¬}
177,[⊙.¬꒱
178,[˘.◉}
179,[⚆.˘}
180,꒰^.¬}
181,(♥.◉꒱
182,(ಠ.⚆|
183,[⚆.X:
184,{ಠ.ಠ}
185,|◉.ಠ}
186,|◉.⚆}
187,|◉.ಥ}
188,(˘.♥}
189,(˘.¬}
190,[^ᆺ¬}
191,:◉.^:
192,|¬o¬|
193,[X.⚆|
194,[⚆.⚆|
195,|⚆.X:
196,{♥.⚆}
197,|^.^}
198,{⊙.⚆|
199,|ಥ.◉:
200,[ʘ.◉|
201,(⚆o˘}
202,|ಠ.^|
203,|ಠ.^|
204,(ಠ.X}
205,(◉.X}
206,[¬ʖ˘}
207,[^.◉}
208,|˘.👁}
209,{^.◉}
210,(◉ᆺ¬}
211,|˘.◉|
212,(◉.X|
213,꒰˘.⚆}
214,:ʘ益ʘ}
215,[⊙益˘}
216,[⊙.^}
217,{ʘ.¬}
218,(ಠ.˘✿
219,|˘.^}
220,[^.˘}
221,(♥.◉}
222,[◉.◉}
223,(ʘ෴♥:
224,✿^.⚆}
225,{👁.⊙}
226,:◉෴^}
227,|˘.⊙}
228,(¬.👁꒱
229,[ʘo˘}
230,{◉.¬:
231,{˘.ʘ|
232,|^.♥}
233,(˘.X|
234,[⚆෴¬}
235,:◉.◉}
236,|ಠo¬}
237,:X.⚆|
238,{♥.¬}
239,(ʘ.ಥ}
240,{^.⊙|
241,|¬.X|
242,[♥.X}
243,[◉ᆺ◉}
244,{◉o˘:
245,|˘.◉}
246,(◉.⚆}
247,[¬.⚆꒱
248,|ಠᆺ⊙:
249,:¬.⚆}
250,(^ᆺ⚆}
251,(¬o◉}
252,꒰^.◉|
253,|^.◉}
254,{˘.◉}
255,[^.˘|
256,|˘o^}
257,[˘o⊙}
258,(Xoಥ|
259,{👁o¬|
260,(¬ʖ^}
261,(^.ಠ}
262,{⚆ᆺಠ}
263,(Xʖ˘|
264,[◉.X:
265,:˘.ಥ}
266,(⚆.⚆꒱
267,꒰¬෴⊙:
268,꒰◉益♥|
269,[˘.^:
270,|ಠ.⚆}
271,{ʘ.^:
272,(⊙.ಠ}
273,{X.˘}
274,[¬.^|
275,:˘o⚆|
276,{˘o◉|
277,|^.⊙|
278,(^.⚆}
279,[ಠ.¬}
280,(ಠo◕}
281,:⚆.¬|
282,(^ᆺ♥}
283,[👁.ʘ}
284,(¬.X:
285,:¬ʖ¬ʔ
286,:ಠʖ¬}
287,[◉.ʘ|
288,|ಠ.˘}
289,[¬ᆺ⚆}
290,|˘.¬}
291,[¬.˘|
292,:Xʖ⊙}
293,[◉.¬}
294,ʕ♥ᆺ¬|
295,|¬.¬}
296,{♥o⚆}
297,{ಥ.ಠ꒱
298,(◉o¬:
299,|¬o^}
300,[¬.¬|
301,|^෴˘}
302,{˘.˘✿
303,|¬.ಥ|
304,|¬.¬|
305,{⊙ʖ⚆✿
306,[^.˘}
307,[👁o¬|
308,{^෴♥|
309,[ಠo⊙}
310,{^.˘}
311,|ಥ.ಠ}
312,[ಠ.♥:
313,[◉ᆺ˘}
314,{⚆.¬}
315,[ಠ.◕}
316,:¬o^}
317,꒰ಠ.⚆|
318,(¬ᆺ⊙|
319,|◉.⚆:
320,(⊙.⊙}
321,{ʘo¬}
322,:ಠ.^:
323,(˘.◉:
324,{⚆o♥|
325,{⊙.◉|
326,|^.˘}
327,|⚆.˘}
328,✿˘益ʘ|
329,(⚆oʘ}
330,|⚆ᆺ⚆}
331,|¬o◉|
332,{X.^|
333,(◉.˘}
334,[ಠo⊙|
335,(⚆.^}
336,|^.ಠ|
337,{⚆.^}
338,ʕ◉o˘}
339,|⚆.ಥ}
340,(¬o⚆ʔ
341,|˘.^:
342,{^.¬✿
343,[◉ᆺ¬:
344,ʕ¬ᴥX}
345,{ಠ.¬}
346,{⊙.^}
347,|˘ᆺ⚆}
348,[ʘ.^}
349,(^oಠ}
350,:◉.⚆|
351,[˘.⚆}
352,(^o^}
353,:◉.♥}
354,(^ᆺಠ}
355,✿^ᆺ^|
356,{¬.ಠ|
357,ʕ⚆.¬}
358,[⊙.♥}
359,[¬.¬|
360,[ಠ.¬}
361,{◉o¬}
362,{¬.ಠ}
363,|¬.X}
364,(¬.ಠ✿
365,[˘.♥|
366,|♥.ಠ}
367,[◉o♥}
368,꒰¬.X:
369,{^.ಠ}
370,{¬.⊙}
371,(⚆.¬}
372,:⊙o⚆}
373,|ಥ.⚆|
374,|^.ಠ|
375,|X.¬}
376,(¬.¬}
377,(^.⚆}
378,(˘o◉}
379,ʕ^.^}
380,[˘o^|
381,(⚆o◉:
382,|˘.ಠ|
383,[ʘ.ʘ:
384,:^.^}
385,(^.¬꒱
386,:◉ʖ⊙}
387,[♥ʖ˘}
388,(⊙.⚆|
389,(⊙.⚆|
390,[◉.ಠ}
391,[◉.⊙:
392,{¬ᆺX}
393,[¬.ಠ|
394,:ಠᆺ⚆}
395,|¬.◉꒱
396,|^.^|
397,(X.ಠ}
398,{^o^|
399,|⚆.◉}
400,{^.^}
401,[⚆o⚆}
402,[◉.ಠ✿
403,[⚆o^}
404,[⊙.⚆}
405,ʕ⊙.👁}
406,|⚆o˘|
407,{⊙.⊙}
408,(ಠo♥|
409,(◉.X꒱
410,(◕.⊙}
411,(˘.◉:
412,{◉.¬✿
413,:˘.ಠ}
414,[˘o⚆}
415,:˘o¬}
416,(^.˘}
417,(˘.⊙꒱
418,(ʘᆺ^:
419,(^෴¬|
420,✿˘.¬}
421,[^.ಥ}
422,[⚆.⊙✿
423,(X.ಠ|
424,{^.ʘ|
425,(ʘoಠ}
426,꒰˘.◉}
427,{˘.^}
428,{˘.ʘ}
429,[^ᆺ¬}
430,|¬ʖʘ:
431,(^ᆺʘ|
432,|˘.⚆}
433,:X.⚆}
434,✿X.X}
435,{^o¬|
436,{^.⚆|
437,:♥.¬:
438,{◉.¬}
439,✿⊙.˘}
440,✿◉ᆺ˘}
441,(⚆.⚆}
442,|X.¬|
443,:ಠ.¬:
444,|^.⊙}
445,[⚆.X|
446,:⊙.¬}
447,|¬o◉꒱
448,|♥.♥|
449,|^.X}
450,꒰⚆.˘✿
451,|⚆.X}
452,꒰ಥoಠ}
453,꒰Xo^}
454,(ಠoX|
455,(¬o⚆|
456,(¬.^|
457,{♥.¬}
458,[⊙.ʘ꒱
459,|^.⚆|
460,[^.⊙|
461,(XoX:
462,{ಠ.⚆✿
463,(˘ᆺ^:
464,{ಠ.⊙|
465,{ಥʖ^}
466,[⊙ᆺ◕}
467,|⚆ʖ^:
468,[ಠ.ಠ}
469,{⚆.¬|
470,꒰ಥ.˘}
471,|◉o^}
472,✿⚆.^}
473,|⚆ᆺX}
474,|ʘ.⊙}
475,|ಠ.¬}
476,|ಠo⊙}
477,(ಠoX꒱
478,|◉.◉}
479,{ಠ.X|
480,|⚆.ʘʔ
481,{◉.^}
482,{¬.♥}
483,[˘ᆺಠ|
484,|◉.⚆✿
485,{¬oʘ}
486,|ಠ.ಠ|
487,{^.⊙}
488,|˘.⚆|
489,{⚆.¬✿
490,✿ಠ.X}
491,[ಠo⚆}
492,(¬.^}
493,{ಠʖ˘}
494,:¬.⚆}
495,[X.¬}
496,{♥.⚆}
497,{¬.^}
498,|¬.˘}
499,(◉.⊙}
500,:👁.ʘ}
501,[◕.ಠ}
502,{ಠ.⚆|
503,{¬.♥}
504,(♥.♥}
505,|˘o⊙:
506,(♥.^✿
507,(˘.˘|
508,(ಠ.^}
509,:⊙.^|
510,[¬.◉}
511,✿⚆o♥}
512,(👁ʖಠ}
513,[^.^}
514,|˘.˘}
515,{ʘ.ಥ}
516,[👁o˘}
517,(¬.˘}
518,(⚆.⚆|
519,|^.⊙}
520,[˘.^|
521,[¬.¬:
522,[¬.¬}
523,|⚆.¬|
524,(⊙.X}
525,|⚆o⚆}
526,ʕ^.ಠ}
527,{◉.˘|
528,(◉.¬|
529,(◕o⚆|
530,[¬.⚆:
531,(◕.👁}
532,|⊙o˘}
533,:˘.X:
534,|ಠ.♥}
535,{ಥ.^}
536,:⚆ᆺ◕}
537,[⚆.¬|
538,(◉.¬}
539,{◉.^}
540,[˘o⊙}
541,[◉ᴥ˘}
542,[◉.⚆}
543,[^.◉}
544,[˘ᆺ⚆}
545,|X.˘}
546,✿⊙.♥}
547,|◉ᆺಥ|
548,[ಥᴥ⚆|
549,|¬.ʘ}
550,[◉o^|
551,{⚆.◉}
552,|^෴˘}
553,(ಠ.¬}
554,(ಠoಠ}
555,(ʘ.X}
556,:⚆.⚆}
557,[👁.ʘ}
558,{˘.⚆꒱
559,{⚆oಠ}
560,:˘.^}
561,꒰˘.ಠ}
562,:ʘo˘}
563,:˘.ಠ|
564,(♥.^}
565,(ʘ.^}
566,|^.^|
567,[˘.◉}
568,{ಠ.X}
569,{˘oಠ}
570,|¬o♥}
571,|˘.X꒱
572,:⚆.X}
573,{¬.˘|
574,{♥.♥}
575,{♥.ಥ}
576,(¬.◉}
577,{^.⚆|
578,:♥o¬|
579,|^oಠ}
580,:⊙ᆺX}
581,[◕o¬}
582,|⚆.◉}
583,(˘o˘}
584,{^.ಠ}
585,(^.^}
586,:¬.⚆}
587,{♥.♥✿
588,|♥ᆺX:
589,[⚆o^:
590,꒰^.⚆}
591,{ಠ.X✿
592,[⊙෴X}
593,|˘益⊙}
594,(^.◉}
595,|ಥ.ಠ}
596,|⚆.˘}
597,[˘.◉}
598,꒰¬ᆺ^:
599,(◉෴⚆}
600,[ʘ.¬}
601,|^.◉}
602,{X.⊙}
603,(ʘo⚆|
604,(^.˘ʔ
605,{👁.⚆}
606,{˘.^✿
607,꒰ಠo👁}
608,(♥ʖ¬:
609,[ಠᆺʘ}
610,(^.⚆}
611,(⊙o◉}
612,[˘o¬ʔ
613,{◉.👁✿
614,(^.⚆✿
615,{⚆.ಠ}
616,(♥.◉ʔ
617,(⚆益˘|
618,:⊙.⊙}
619,{◉.^}
620,|X.⚆✿
621,[^.⚆:
622,[⊙.¬}
623,[⚆.X}
624,{˘oʘ✿
625,(X.˘}
626,[¬.˘}
627,|¬.ಠ}
628,|^.^}
629,꒰^.¬}
630,꒰¬o◉}
631,{◉.⚆|
632,|⚆.X}
633,[◉෴⊙}
634,:˘.^}
635,[¬.^|
636,꒰¬.˘|
637,:¬o˘}
638,{˘ᆺ⊙|
639,{◉o˘}
640,|ʘo^:
641,{⚆ᆺ⊙|
642,{⊙.X}
643,[⊙.˘꒱
644,꒰˘ʖ⊙|
645,(¬.^}
646,{ಠo¬}
647,|^.⊙}
648,{◕o⚆:
649,|^.◉}
650,ʕʘo◉|
651,꒰◉.¬}
652,(◉.˘}
653,{^.⊙|
654,|˘.⊙|
655,ʕ^.^}
656,|˘.ʘ:
657,꒰⊙o⚆}
658,{⚆.^}
659,{◉.ಠ|
660,|^.⊙:
661,{ಥ.⚆}
662,(⚆.¬:
663,|˘.◉:
664,|¬.ಥ|
665,{¬ʖ^}
666,|^.X}
667,[◉.˘:
668,[^.X}
669,{X.ಠ}
670,{ಠ.¬}
671,|X.⊙✿
672,{⚆෴¬:
673,꒰⊙.ʘ}
674,[¬.ಥ}
675,(⚆.¬}
676,꒰˘.¬:
677,[˘.⚆|
678,[¬.˘|
679,{^ᆺ˘}
680,[^.^}
681,(⊙o^}
682,{◉.ಠ✿
683,(˘.⊙}
684,{⚆.¬}
685,(◕o◉꒱
686,:◉ᆺ♥|
687,[⊙.X}
688,{Xo˘:
689,(ಠ.◕|
690,|¬෴ಥ|
691,:^.⊙:
692,{ʘ.⚆}
693,|⚆.˘}
694,[^o˘}
695,(X.⚆|
696,{⊙.⊙}
697,[♥.ʘ|
698,|⚆.ಠ}
699,{♥.˘|
700,:˘.ಠ꒱
701,:⚆.◕}
702,[˘oʘ|
703,[X.⊙}
704,|⊙ᆺ◉}
705,(ಠo◉}
706,(ಠ.◉}
707,[^o⊙}
708,|Xᆺ♥}
709,|⚆.X}
710,[ಠ.˘:
711,(⚆ᆺ⊙}
712,|˘.¬}
713,|◉.˘꒱
714,[ʘ.⊙}
715,|ಥ.^}
716,[ಠ.⚆|
717,(^.X}
718,✿ʘ.^}
719,|^.⚆꒱
720,|˘.^✿
721,[ʘ.X}
722,{ಠ.X}
723,꒰♥.^:
724,(◉.ಥ|
725,{◉.ʘ:
726,[˘෴^:
727,|X.⚆}
728,:˘o˘}
729,:X.^}
730,{ʘ.◉ʔ
731,|⚆oಠ}
732,{◉o◕|
733,(ʘ.¬꒱
734,|ʘ.ಠ|
735,[¬.⚆꒱
736,{^oಠ}
737,|ಠ.⚆|
738,[♥.¬}
739,[◉.˘:
740,:ಠ.ʘ}
741,ʕ^෴⊙✿
742,[⚆.˘}
743,[^.◉|
744,(¬.¬|
745,[ʘ.♥}
746,{^oX}
747,:⚆.◉|
748,(⚆.^}
749,[ಠ.˘}
750,|ʘ.◉}
751,|ʘ.¬:
752,(¬.⚆}
753,꒰˘.˘:
754,[ಠ.⚆|
755,[⊙ʖ👁|
756,(⊙o˘|
757,꒰˘o¬}
758,[¬.ಥ}
759,:⚆෴^|
760,(^ᆺX:
761,:ʘ.¬:
762,(^ᆺX:
763,꒰˘o¬}
764,{¬.ಠ}
765,:˘.¬}
766,꒰¬.⊙:
767,{◕.ʘ}
768,{¬ᆺ¬✿
769,{¬ᆺ¬✿
770,{ಥ.◉}
771,|ಥ.ʘ|
772,✿⚆ᆺʘ|
773,[ಠ.◉}
774,:◕o⊙}
775,꒰^ʖ⊙|
776,:⚆.◉|
777,(⚆o^}
778,꒰¬o⚆}
779,(^.⊙|
780,|ಠoʘʔ
781,(⊙.¬|
782,꒰⚆ᆺ^}
783,:⊙oX}
784,꒰˘o¬:
785,|¬.ಠ}
786,{X.♥|
787,{X.ಠ:
788,:¬.ಠ}
789,[⊙.⚆}
790,(◉.^}
791,(¬.˘|
792,(◉ʖ♥|
793,[◕ʖX}
794,[ಠ.^}
795,[ಠo¬}
796,(ಠ.◉}
797,꒰⚆.ಠ꒱
798,:˘ʖ⚆}
799,[^෴◉}
800,✿◉෴⚆}
801,[◉.^}
802,:ಠ.¬:
803,(⊙o⊙ʔ
804,:ʘ.¬}
805,{¬.ಠ|
806,(⚆.⊙}
807,[◉.⚆꒱
808,(¬.X}
809,|¬.¬}
810,:♥.¬}
811,{X益¬꒱
812,{♥.ʘ}
813,|ಠ.^}
814,✿˘.◉}
815,ʕʘ.◉ʔ
816,(^.⚆:
817,|^.♥|
818,[⚆.⚆:
819,꒰ʘ.♥}
820,[⚆.˘꒱
821,✿◉o¬꒱
822,[◉.⚆}
823,{Xᆺ⚆}
824,|⚆.ಠ}
825,{¬o¬}
826,(¬.⊙|
827,(¬o^}
828,[ಠ.X}
829,{◉.♥:
830,{^.⚆✿
831,{^o˘}
832,{ಠ.¬|
833,|ಠ.⚆:
834,✿^.˘}
835,|^.⚆|
836,{^.⚆}
837,[◉o¬}
838,[◉o⊙ʔ
839,꒰⊙.^}
840,|^oʘ}
841,[ಠ.⊙:
842,(^.˘|
843,(⚆.¬}
844,(˘.X✿
845,[ಠoʘ✿
846,(˘o^}
847,꒰˘.⚆|
848,|⚆.♥}
849,|¬.¬꒱
850,(⚆.^|
851,[^.◉✿
852,{◉o¬}
853,|⚆.ಠ✿
854,{¬.X}
855,|⚆o⚆}
856,[⚆.¬}
857,[◉.^}
858,|⊙.¬}
859,(¬.ಠ}
860,|ಠo^|
861,(◉.¬}
862,{⊙.X}
863,:⊙.¬|
864,{◉෴◉꒱
865,|¬.⚆}
866,[◉.^}
867,:^o˘|
868,(^.⊙|
869,|ಠ.¬|
870,(⚆o˘}
871,[˘.⚆|
872,{⊙益^:
873,|⊙.⚆|
874,[ಠ.ಠ꒱
875,[X.ʘ}
876,[⚆.◉꒱
877,(¬.X}
878,[ಠ.⊙|
879,{¬.^}
880,:⊙.˘}
881,[ಠo◉:
882,|♥.◉✿
883,[⚆.¬꒱
884,{ಠo⊙}
885,:^.⊙}
886,(⚆.^}
887,(ಠo⚆|
888,[˘.¬}
889,(^.⊙|
890,꒰ಠ.¬}
891,{^o¬|
892,[¬.◉|
893,:♥.⚆:
894,[¬.^}
895,{˘.ʘ|
896,(⚆ᆺ⚆}
897,{⊙ᆺ¬}
898,:¬.ʘ}
899,(^.👁}
900,:ಠ.♥}
901,ʕ˘.⊙:
902,꒰⊙.⚆|
903,[♥o⊙}
904,(◉.ʘ|
905,|⚆.♥|
906,[♥.◉|
907,[^.ಠ꒱
908,{˘.^꒱
909,|^.ಠ}
910,(⚆.^}
911,ʕ◉.^}
912,|ಠ.X}
913,|♥.ʘ}
914,(⚆.X}
915,[^.👁}
916,[¬.♥꒱
917,|^෴X|
918,✿◉.˘}
919,{ʘ.⊙꒱
920,[˘.◉}
921,:ಠo⊙}
922,✿⚆o^}
923,:X.˘|
924,✿^.¬ʔ
925,[◉.^|
926,✿ʘo˘|
927,|ಠ.⚆✿
928,[⊙.◕}
929,(¬.⊙|
930,|˘.⚆}
931,|⚆.^}
932,(◉.ಠ}
933,(ʘ.ಠ}
934,[˘ᆺಠ꒱
935,|^.¬}
936,(ಠ.^|
937,{ಠ.⚆}
938,{^.ಥ}
939,(ಠᴥ^|
940,|^.◉}
941,{ಠ.⚆}
942,[ಥ.X|
943,:♥.ಠ:
944,[¬.˘|
945,(¬ʖ⊙|
946,(◉.⊙}
947,|⚆.ಥ}
948,|˘.⚆}
949,|♥ᆺ˘꒱
950,{˘.ʘ꒱
951,[⚆.˘:
952,|ಥ.ಠ}
953,(¬.◉}
954,[⚆ʖ⚆}
955,:◉.ʘ}
956,:ʘoಠ✿
957,{⊙o¬}
958,{⚆.ಠ|
959,(˘.˘|
960,(^o˘ʔ
961,(˘.⚆}
962,꒰X.^}
963,[ʘ.¬}
964,:◉.👁|
965,꒰¬.¬}
966,(^.⊙}
967,(ಠ.ʘ|
968,(⚆o♥}
969,:⊙ʖ˘}
970,|ಠ.ಥ}
971,[^oX:
972,|˘.⊙}
973,✿^.⚆:
974,{ಠ.^}
975,:¬oʘ|
976,(◉o⊙ʔ
977,(X.¬|
978,[^.◉|
979,{¬.˘|
980,(⚆.◉꒱
981,ʕ˘o⚆}
982,(⚆.X|
983,(¬.˘}
984,[◉.X|
985,:^.¬}
986,|◉෴ಠ}
987,(◉o^|
988,|◉ᆺX}
989,(^oX}
990,[ʘ.^}
991,|ಠʖ⚆|
992,(^.^}
993,[⚆o⚆}
994,(ಠᆺX}
995,꒰♥.˘|
996,|¬.◉}
997,✿◉.ಠ|
998,|¬.¬}
999,|^o¬:
1000,ʕX.◉:
1001,(ಠo˘}
1002,(⊙ʖ^}
1003,|ಠ.^|
1004,|Xᆺ◉꒱
1005,(ಠ益⊙꒱
1006,(¬.⚆}
1007,|X.˘}
1008,:⊙.ಠ}
1009,[^.¬}
1010,✿◉o⚆꒱
1011,|˘.ʘ}
1012,[⊙.^✿
1013,[X.ʘ}
1014,|⊙.ʘ}
1015,[⚆.¬:
1016,|^.^|
1017,(♥益ಠ}
1018,(^ʖ^}
1019,{◉෴˘}
1020,[ʘ.◉:
1021,{˘.˘꒱
1022,[X.ಠ}
1023,{˘.⚆|
1024,[ಠ.^}
1025,|◉ᆺಠ|
1026,(👁oಠ}
1027,✿ʘ.˘}
1028,{^.ಠ|
1029,:¬.◉✿
1030,|⊙.^}
1031,{⊙.⊙}
1032,{X.⚆:
1033,(ಠ.¬}
1034,(⊙.^}
1035,:^.⊙}
1036,(⊙.^}
1037,[ಥᆺ¬}
1038,[ʘ.^}
1039,|^.◉|
1040,(ʘ෴^|
1041,:^.˘|
1042,[◉.˘}
1043,[◉.^|
1044,(^.⚆}
1045,[ಠ.⚆|
1046,|^o⊙}
1047,[¬.ಠ}
1048,(˘.X}
1049,:♥o◉}
1050,{ಠ෴⊙}
1051,(◉.^}
1052,[^.X꒱
1053,{⚆.^|
1054,:◉o⚆}
1055,[¬.♥}
1056,(⚆.ಠ}
1057,[♥ᆺಠ}
1058,:˘ᆺ⚆:
1059,(Xo¬}
1060,(¬෴◉|
1061,(ಠ.⚆|
1062,:⚆o👁}
1063,|¬ᆺ⚆}
1064,{⊙o^}
1065,(⚆.˘꒱
1066,(⚆益^}
1067,|ಥ.^|
1068,[◉o^ʔ
1069,|♥.⚆}
1070,✿¬.ಠ}
1071,{ಥᆺ¬}
1072,{¬.♥|
1073,|⊙.ʘ}
1074,[^.^꒱
1075,(^.^|
1076,ʕ♥o^}
1077,|⚆.^}
1078,[⚆.⚆|
1079,|⚆.ಠ}
1080,:⚆.⚆|
1081,(👁o^|
1082,[♥o♥꒱
1083,{◉.¬}
1084,[^.ಠ}
1085,[👁.⚆|
1086,(^.⊙}
1087,:◉.˘|
1088,꒰^ᆺʘʔ
1089,(⊙.◉}
1090,:⚆o^꒱
1091,|Xo⚆|
1092,{^.⚆}
1093,[⊙oX}
1094,{◉ʖ^}
1095,{¬.˘}
1096,:⚆.^|
1097,{^.¬}
1098,[^.˘}
1099,:^.˘}
1100,[¬෴👁}
1101,:^.˘}
1102,{^.^|
1103,|^.^}
1104,(˘.♥}
1105,:^.⊙|
1106,{^oಥ}
1107,(ಠo⊙}
1108,(⚆ʖ^}
1109,(^.¬}
1110,(X.^:
1111,{ಠ.˘|
1112,[⊙.⊙|
1113,[X.¬}
1114,|ಠ.⚆}
1115,(˘.⊙|
1116,[⊙o^|
1117,:¬.¬:
1118,{⚆.^}
1119,:⚆.ಠ|
1120,{⊙.👁}
1121,[ಠ.˘|
1122,(⚆.¬}
1123,(ಠ.⊙}
1124,|X.^|
1125,{ಠ.♥}
1126,{¬.ಠ꒱
1127,{^.◉:
1128,[⊙ᆺ¬}
1129,|˘.ʘ}
1130,(⚆.˘}
1131,[˘ʖʘ}
1132,{◉.♥꒱
1133,[X.ಠ}
1134,[^.⚆}
1135,[ಠʖ⚆}
1136,:^.⚆|
1137,(ಠ.¬}
1138,[⚆ᆺ⚆}
1139,|◉.ʘ}
1140,:⊙.ಠ}
1141,|⚆.⚆}
1142,{👁.ಠ}
1143,{⚆.⚆}
1144,{⊙.^:
1145,(Xo⊙|
1146,(ಠ.^}
1147,|ಠ.♥✿
1148,[⊙o˘ʔ
1149,[⚆o👁:
1150,|^.ಠ}
1151,{¬.⚆}
1152,|Xᆺ^}
1153,꒰ಥ.⚆}
1154,(X෴^}
1155,(ಠo¬|
1156,(ಠo♥꒱
1157,(👁ʖ⚆}
1158,(◉o˘}
1159,[⚆ʖ♥|
1160,✿¬.X:
1161,|X.X:
1162,{⊙oಠ:
1163,[⊙o👁|
1164,{ಠᆺʘ|
1165,|¬.^}
1166,[^.˘꒱
1167,|^ʖ¬}
1168,{◉.¬}
1169,[¬ʖ♥}
1170,(⊙o˘}
1171,{¬.◉|
1172,|¬.◉ʔ
1173,|⊙.⚆}
1174,[ಠ.ಠ}
1175,|Xᆺ♥}
1176,|⚆.˘}
1177,{˘益ʘ꒱
1178,|⚆.^|
1179,|◕.ʘ}
1180,[X.◉:
1181,[⊙.◕|
1182,|◉o◉}
1183,(˘.◕ʔ
1184,{^.ʘ}
1185,[^ʖ◉}
1186,{◉෴⚆|
1187,(˘.⚆}
1188,{^.^}
1189,{⊙.ಥ}
1190,|¬.⚆}
1191,(˘oಠ}
1192,:^.⚆:
1193,|^.^:
1194,[^.⊙}
1195,|^.˘|
1196,꒰♥o^}
1197,[^.⚆|
1198,[⚆o^}
1199,|◕.◉}
1200,(^ᴥ⚆}
1201,꒰ಥ.ಠ꒱
1202,[^෴¬}
1203,{^ᆺಠ|
1204,:ಠ.˘}
1205,[˘.⚆}
1206,[⚆o⚆}
1207,|˘.♥|
1208,[⊙o⊙}
1209,[ಠ.˘}
1210,:⊙.^:
